entry_id,target_type,query_pattern,formula,method_applicability,marker_class,subclass,tool_class5,paper9_hint,origin_interpretation,matrix_applicability,confidence,source_ids,evidence_short,conflict_warning,rule_notes,synonyms
M0001,compound,phenol,C6H6O,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,B,PY003;PY004;PY005;PY006;PY009;PY011,generic phenolic pyrolysate; lignin/tannin or protein/char possible,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0002,compound,cresol|methylphenol,C7H8O,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,B,PY003;PY004;PY005;PY006;PY009;PY011,alkylphenols used as phenolic/lignin related markers,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,o-cresol;m-cresol;p-cresol
M0003,compound,ethylphenol,C8H10O,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,C,PY003;PY004;PY005;PY006;PY009;PY011,alkylphenol; multi-origin aromatic phenolic marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0004,compound,vinylphenol,C8H8O,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,phenylpropanoid/lignin-derived pyrolysis marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,4-vinylphenol
M0005,compound,catechol,C6H6O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,dihydroxybenzene / lignin-tannin phenolic marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,"1,2-dihydroxybenzene"
M0006,compound,resorcinol,C6H6O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,B,PY003;PY004;PY005;PY006;PY009;PY011,dihydroxybenzene / polyhydroxy aromatic marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,"1,3-dihydroxybenzene"
M0007,compound,hydroquinone,C6H6O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,B,PY003;PY004;PY005;PY006;PY009;PY011,polyhydroxy aromatic marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,"1,4-dihydroxybenzene"
M0008,compound,pyrogallol,C6H6O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,tannin/polyhydroxy aromatic marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,"1,2,3-trihydroxybenzene"
M0009,compound,guaiacol,C7H8O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,methoxyphenol diagnostic of guaiacyl lignin,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,2-methoxyphenol
M0010,compound,methylguaiacol|methoxy cresol,C8H10O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,alkylated guaiacyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,4-methylguaiacol
